DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
35.0,553.2984984,17.229166666666668,4,3,1,0,0,0,1,0,0,2,1,434.0833333333333,19.0,89.2645728,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,31_60,very_high,15_30,Y,U,0,0.8454105,75.46520942605305
111.0,594.2255614999999,6.71875,7,2,0,5,0,1,0,1,0,4,1,164.75,13.0,87.4965504,1,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,microsoft,Organic Search,Organic Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BU,BA,61_120,very_high,6_8,Y,V,1,0.86044204,75.285710524823
244.0,422.547931,14.21875,5,4,0,1,0,1,0,0,0,2,1,355.4166666666667,16.0,84.3716736,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,mozilla,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,15_30,Y,U,1,0.8903632,75.12143467955931
29.0,649.3721846,14.065972222222221,3,1,1,1,0,1,1,0,0,2,1,342.5833333333333,13.0,98.063568,4,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,15_30,very_high,15_30,Y,T,1,0.7522923,73.77246470738412
258.0,300.6507529,59.298611111111114,3,3,0,0,0,0,0,0,0,2,1,1439.3333333333333,11.0,90.6214272,2,1,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,google,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,120_plus,very_high,30_plus,Y,U,0,0.8124124,73.62196945677337
221.0,1555.0305232,15.0,7,4,3,0,0,0,1,0,0,2,1,367.25,19.0,90.6214272,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,15_30,Y,T,1,0.8058762,73.02965097644119
118.0,978.7815693,10.28125,9,9,0,0,0,0,0,1,0,2,1,260.25,16.0,89.42904,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,9_14,Y,O,0,0.8058762,72.06873451622486
122.0,160.78981620000002,7.722222222222222,2,2,0,0,0,0,0,0,0,4,1,186.16666666666666,21.0,95.4063948,1,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BI,BU,120_plus,very_high,6_8,Y,U,0,0.7541881,71.95436956502674
4.0,82.39121440000001,,2,2,0,0,0,0,0,0,0,2,1,2.4166666666666665,11.0,98.183492,1,0,BAGGAGE,NEW APEX,LANG_02,One-Way,google,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CU,CE,4_7,high,unknown_or_oneway,Y,T,0,0.72553915,71.23596711899543
139.0,544.5329106,15.0,3,2,0,1,0,1,0,1,0,2,1,367.25,15.0,89.42904,4,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,15_30,Y,V,0,0.7944496,71.04686750669002
