,MARKET,LANGUAGE,FLIGHT_TYPE,DTD,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,ADULTS,TEENAGERS,CHILDREN,INFANTS,HOUR_OF_THE_DAY_PL_TIME,LOGIN_STATUS,LOYALTY_MEMBERSHIP_PROGRAM,FARE_YQ_TICKET,CALCULATED_DTD,IS_ANOMALY_DTD,TOTAL_PASSENGERS,HAS_CHILDREN_OR_INFANTS,TRIP_MONTH,TRIP_DAY_OF_WEEK,IS_WEEKEND_FLIGHT,TRIP_QUARTER,NUMBER_OF_SEGMENTS,IS_DIRECT_FLIGHT,TOTAL_EMD_SPEND,TOTAL_REVENUE,BOOKING_WINDOW,IS_SOLO_TRAVELER,IS_FAMILY,IS_ADULT_GROUP,ADULT_RATIO,ORIGIN_AIRPORT,DESTINATION_AIRPORT,FLIGHT_TIME_OF_DAY,TARGET_BUSINESS_LOUNGE,TARGET_MEAL,TARGET_PET,TARGET_SPECIAL_EQUIPMENT,TARGET_FAST_TRACK,TARGET_BAGGAGE
1064,UPPER APEX,LANG_02,Round-Trip,49.0,apple,Direct,Direct,1,0,0,0,19.0,Logged-In,No_Program,27.884471499999997,50,False,1,0,2,6,1,1,2,0,0.0,27.884471499999997,Advance (31-90),1,0,0,1.0,CAJ,CER,Wieczór (18-23),0,0,0,0,0,0
1065,UPPER APEX,LANG_09,Round-Trip,114.0,google,Direct,Direct,3,0,1,0,21.0,Logged-In,LO,565.7174852,115,False,4,1,5,6,1,2,2,0,0.0,565.7174852,Early Bird (90+),0,1,0,0.75,CAJ,DAD,Wieczór (18-23),0,0,0,0,0,0
1066,NORTH MERIDIAN,LANG_02,Round-Trip,30.0,apple,Direct,Direct,1,0,0,0,14.0,Logged-In,No_Program,111.1185803,31,False,1,0,11,1,0,4,4,0,0.0,111.1185803,Advance (31-90),1,0,0,1.0,BIV,CIJ,Popołudnie (14-17),0,0,0,0,0,0
1067,UPPER APEX,LANG_02,One-Way,3.0,samsung,Direct,Organic Search,2,0,0,0,19.0,Logged-Out,No_Program,92.0763623,4,False,2,0,10,5,1,4,1,1,0.0,92.0763623,Last Minute (0-7),0,0,0,1.0,CAJ,CAV,Wieczór (18-23),0,0,0,0,0,0
1068,UPPER APEX,LANG_09,Round-Trip,24.0,google,Organic Search,Paid Search,2,0,0,0,21.0,Logged-Out,No_Program,164.1399788,25,False,2,0,11,0,0,4,2,0,0.0,164.1399788,Medium (15-30),0,0,0,1.0,CAJ,BUF,Wieczór (18-23),0,0,0,0,0,0
1069,UPPER APEX,LANG_09,One-Way,30.0,google,Direct,Affiliate,1,0,0,0,21.0,Logged-Out,No_Program,16.9752422,31,False,1,0,3,6,1,1,1,1,0.0,16.9752422,Advance (31-90),1,0,0,1.0,BIH,CAJ,Wieczór (18-23),0,0,0,0,0,0
1070,UPPER APEX,LANG_02,Round-Trip,3.0,apple,Direct,MetaSearches,2,0,0,0,23.0,Logged-Out,No_Program,463.9508354,4,False,2,0,2,1,0,1,2,0,0.0,463.9508354,Last Minute (0-7),0,0,0,1.0,CAJ,CEF,Wieczór (18-23),0,0,0,0,0,0
1071,UPPER APEX,LANG_09,Round-Trip,58.0,microsoft,Paid Search,Email,4,0,0,0,15.0,Logged-Out,No_Program,354.49877039999996,59,False,4,0,1,5,1,1,2,0,0.0,354.49877039999996,Advance (31-90),0,0,1,1.0,CAJ,BIT,Popołudnie (14-17),0,0,0,1,0,0
1072,UPPER VERTEX,LANG_02,One-Way,42.0,google,Organic Search,Organic Search,1,0,0,0,21.0,Logged-Out,No_Program,51.5172089,43,False,1,0,11,6,1,4,1,1,0.0,51.5172089,Advance (31-90),1,0,0,1.0,CAJ,BOZ,Wieczór (18-23),0,0,0,0,0,0
1073,UPPER APEX,LANG_09,Round-Trip,3.0,apple,Paid Search,Paid Search,1,0,0,0,22.0,Logged-In,LO,30.866724400000003,4,False,1,0,3,4,0,1,2,0,0.0,30.866724400000003,Last Minute (0-7),1,0,0,1.0,CAJ,CUJ,Wieczór (18-23),0,0,0,0,0,0
1074,UPPER APEX,LANG_09,One-Way,15.0,microsoft,Paid Search,Organic Search,1,1,0,0,12.0,Logged-In,No_Program,12.1157504,16,False,2,0,1,5,1,1,1,1,0.0,12.1157504,Medium (15-30),0,0,0,0.5,BEZ,CEJ,Południe (10-13),0,1,0,0,0,0
1075,UPPER APEX,LANG_02,One-Way,3.0,apple,Direct,Direct,1,0,0,0,9.0,Logged-In,No_Program,36.9511542,4,False,1,0,2,2,0,1,1,1,0.0,36.9511542,Last Minute (0-7),1,0,0,1.0,CAJ,CUX,Rano (6-9),0,0,0,0,0,0
1076,UPPER APEX,LANG_09,One-Way,0.0,apple,Paid Search,Paid Search,1,0,0,0,18.0,Logged-Out,No_Program,38.7410199,1,False,1,0,3,1,0,1,1,1,0.0,38.7410199,Last Minute (0-7),1,0,0,1.0,CAJ,CUK,Wieczór (18-23),0,0,0,0,0,0
1077,UPPER APEX,LANG_09,Round-Trip,193.0,google,Email,Email,1,0,0,0,19.0,Logged-Out,No_Program,35.224248599999996,194,False,1,0,9,2,0,3,2,0,0.0,35.224248599999996,Early Bird (90+),1,0,0,1.0,CAJ,BIK,Wieczór (18-23),0,0,0,0,0,0
1078,SOUTH HORIZON,LANG_02,One-Way,14.0,google,Direct,Organic Search,1,0,0,0,11.0,Logged-Out,No_Program,20.9357323,15,False,1,0,2,1,0,1,1,1,0.0,20.9357323,Medium (15-30),1,0,0,1.0,CAJ,CAV,Południe (10-13),0,0,0,0,0,0
1079,UPPER APEX,LANG_09,One-Way,3.0,apple,Direct,Direct,1,0,0,0,7.0,Logged-In,No_Program,59.3885063,4,False,1,0,1,4,0,1,1,1,0.0,59.3885063,Last Minute (0-7),1,0,0,1.0,CAJ,CEG,Rano (6-9),0,0,0,0,0,0
1080,SOUTH VERTEX,LANG_02,Round-Trip,44.0,apple,Direct,Direct,1,0,0,0,17.0,Logged-Out,No_Program,19.2358096,45,False,1,0,12,3,0,4,2,0,0.0,19.2358096,Advance (31-90),1,0,0,1.0,CAJ,BAW,Popołudnie (14-17),0,0,0,0,0,0
1081,UPPER APEX,LANG_09,Round-Trip,175.0,apple,Direct,Direct,1,0,0,0,17.0,Logged-Out,No_Program,41.8389138,176,False,1,0,8,3,0,3,4,0,0.0,41.8389138,Early Bird (90+),1,0,0,1.0,CAW,CIR,Popołudnie (14-17),0,0,0,0,0,0
1082,UPPER APEX,LANG_02,Round-Trip,58.0,apple,Direct,Direct,1,1,2,0,22.0,Logged-Out,No_Program,491.028818,59,False,4,1,12,3,0,4,2,0,0.0,491.028818,Advance (31-90),0,1,0,0.25,CAJ,BIV,Wieczór (18-23),0,0,0,0,0,0
1083,UPPER APEX,LANG_02,One-Way,6.0,apple,Direct,Direct,1,0,0,0,19.0,Logged-In,No_Program,50.5107039,6,False,1,0,11,4,0,4,1,1,0.0,50.5107039,Last Minute (0-7),1,0,0,1.0,CIL,CAJ,Wieczór (18-23),0,0,0,0,0,0
1084,UPPER APEX,LANG_09,Round-Trip,4.0,google,MetaSearches,MetaSearches,1,0,1,0,11.0,Logged-Out,No_Program,200.7030932,5,False,2,1,10,4,0,4,2,0,0.0,200.7030932,Last Minute (0-7),0,1,0,0.5,CAJ,CEB,Południe (10-13),0,0,0,0,0,0
1085,SOUTH HORIZON,LANG_02,Round-Trip,31.0,apple,Direct,Direct,1,0,0,0,21.0,Logged-In,No_Program,16.5473705,32,False,1,0,11,3,0,4,2,0,0.0,16.5473705,Advance (31-90),1,0,0,1.0,CAV,CAJ,Wieczór (18-23),0,0,0,0,0,0
1086,UPPER VERTEX,LANG_11,Round-Trip,33.0,google,Direct,Direct,1,0,0,0,19.0,Logged-In,No_Program,51.7579135,34,False,1,0,11,0,0,4,2,0,0.0,51.7579135,Advance (31-90),1,0,0,1.0,CAJ,BAK,Wieczór (18-23),0,0,0,0,0,0
1087,SOUTH VERTEX,LANG_02,Round-Trip,21.0,apple,Paid Search,Paid Search,1,0,0,0,22.0,Logged-Out,No_Program,36.4937298,22,False,1,0,10,1,0,4,2,0,0.0,36.4937298,Medium (15-30),1,0,0,1.0,CAJ,CUD,Wieczór (18-23),0,0,0,0,0,0
1088,NORTH ZENITH,LANG_06,One-Way,1.0,apple,Direct,Direct,1,0,0,0,14.0,Logged-In,No_Program,42.8218623,1,False,1,0,10,5,1,4,1,1,0.0,42.8218623,Last Minute (0-7),1,0,0,1.0,CUV,CAJ,Popołudnie (14-17),0,0,0,0,0,0
1089,SOUTH HORIZON,LANG_02,One-Way,19.0,apple,MetaSearches,MetaSearches,1,0,0,0,22.0,Logged-Out,No_Program,24.7655909,20,False,1,0,3,5,1,1,1,1,0.0,24.7655909,Medium (15-30),1,0,0,1.0,CAJ,CAV,Wieczór (18-23),0,0,0,0,0,0
